id,calories,proteins,fat,carbohydrate,name
559,350,6.2,1.4,78.2,Jampang huma mentah
560,45,2.5,3.9,0,Jamur Coklat (kulat siau)
561,296,9.4,1.1,62,Jamur encik
562,294,16,0.9,64.6,Jamur kuping kering
563,21,3.8,0.6,0.9,Jamur kuping segar
564,30,3.5,0.2,4,Jamur merang segar
565,48,2.8,4.1,2.9,Jamur Putih (kulat putih)
566,48,1.9,3.2,2.8,Jamur sagu
567,30,1.9,0.1,5.5,Jamur tiram segar
568,107,5.3,2.2,16.5,Jangang bintatoeng masakan
569,31,1.2,0.3,7.1,Jantung Pisang segar
570,500,1.2,25.1,67.3,Japilus
571,48,2.5,4.2,0,Jaruk Tigarun
572,334,9.7,3.5,73.4,Jawawut
573,381.7,9.5,9.5,65.8,Jenang 
574,192,5.4,0.3,40.7,Jengkol segar
575,48,0.6,0.2,12.4,Jeruk Bali
576,61,0.8,0.2,14.1,Jeruk banjar segar
577,44,0.8,0.3,10.9,Jeruk Garut
578,39,0.3,0.3,8.9,Jeruk Kalamansi segar
579,45,0.9,0.2,11.2,jeruk
580,37,0.8,0.1,12.3,Jeruk Nipis
581,49,0.7,0.2,11.1,Jeruk ragi segar
582,32,1.9,0.3,7.1,Jotang
583,15,15.2,4.3,8.8,Jukku pallu kaloa masakan
584,130,6.7,0.3,25.2,Kabau segar
585,133,1,0.2,32.2,Kaburan ubi segar
586,250,2.6,2.5,35.4,Kabuto
587,356,20.5,4.1,61.6,kacang
588,330,23.8,1.4,60.2,Kacang Arab
589,533,27.8,38.1,28.8,Kacang atom
590,341,30.4,3.2,51.3,Kacang babi kering
591,400,34.4,16.9,34.1,Kacang belimbing (kecipir) kering
592,204,16.9,8.8,17.5,Kacang Belimbing rebus
593,212,17.5,10,12.9,Kacang Belimbing tempe
594,118,4.4,1.5,21.6,Kacang beracun segar
595,479,12.7,23.2,58.9,Kacang Bogor goreng
596,370,16,6,65,Kacang bogor kering
597,161,7.7,2.8,27.1,Kacang Bogor rebus
598,165,7.7,3.1,27.4,Kacang bogor segar
599,331,25,1,58,Kacang Endel biji
600,129,12.4,0.7,18.3,Kacang ercis segar
601,336,23.1,1.7,59.5,kacang galing segar
602,516,14.7,31.1,44.4,Kacang goyang
603,336,20.7,1.4,62,Kacang Gude biji
604,316,20.7,1,58,Kacang gude biji kering
605,114,7,0.6,20.8,Kacang Gude biji muda
606,123,8.4,0.6,1.8,Kacang Gude muda
607,147,9,0.5,27.5,Kacang gude rebus
608,323,22.9,1.5,56.8,Kacang hijau kering
609,109,8.7,0.5,18.3,kacang hijau rebus
610,350,17.1,1.8,70.7,Kacang hijau var. bakti kering
611,339,20.8,2.1,64.6,Kacang hijau var. siwalik kering
612,346,16.6,1.7,66.1,Kacang hitam kering
613,345,22.2,1.2,62.9,Kacang Ijo
614,445,11,11,65.5,Kacang Kapri Goreng 
615,98,6.7,0.4,17.7,Kacang Kapri muda
616,286,30.2,15.6,30.1,Kacang Kedelai basah
617,521,32.2,37.7,22.9,Kacang kedelai goreng
618,381,40.4,16.7,24.9,Kacang kedelai kering
619,75,4.1,2.1,10.7,Kacang Kedelai kukus
620,189,20.2,8.2,12.7,Kacang kedelai rebus
621,286,30.2,15.6,30.1,Kacang kedelai segar
622,327,16.4,4.3,55.8,Kacang komak segar
623,355,17,2.5,66,Kacang kuning kering
624,346,16.5,1.5,66.6,Kacang lebui /iris kering
625,22,1.1,1,3.4,Kacang mekah polong segar
626,344,16.7,2.1,64.6,Kacang mentega kering
627,336,23.1,1.7,59.5,Kacang Merah
628,350,13.9,3,66.9,Kacang merah /banda kering
629,314,22.1,1.1,56.2,Kacang merah kering
630,158,10.3,0.9,28.2,Kacang Merah kering rebus
631,171,11,2.2,28,Kacang merah segar
632,144,10,1,24.7,Kacang Merah segar rebus
633,280,16.7,1.6,63.2,Kacang merah tua kering
634,629,20.4,56.3,19.8,Kacang mete/biji jambu monyet goreng
635,616,16.3,48.4,28.7,Kacang mete/biji jambu monyet segar
636,480,18.4,19.1,58.5,Kacang negara
637,44,2.7,0.3,7.8,Kacang Panjang
638,357,17.3,1.5,70,Kacang Panjang biji
639,39,3,0.6,7.6,Kacang Panjang kukus
640,150,2.5,12.5,7,Kacang Panjang tumis
641,37,3.1,0.2,7.9,Kacang ranti polong
642,484,8.8,26.1,57.7,Kacang sukro
643,488,25.6,25.6,59.6,Kacang Sukro Putih 
644,535,27.8,38.1,28.8,Kacang Tanah atom
645,564,25.5,44.4,25.5,Kacang tanah goreng
646,561,25.5,43.8,26,Kacang Tanah kacang sari
647,525,27.9,42.7,17.4,Kacang tanah kering
648,385,14,31,13,Kacang Tanah Rebus 
649,360,13.5,31.2,12.8,Kacang Tanah rebus berkulit
650,513,17.5,32.5,44.3,Kacang Tanah rempeyek
651,569,28.8,48.4,15.8,Kacang Tanah sangan berselaput
652,559,26.9,44.2,23.6,Kacang tanah sangan tanpa selaput
653,561,25.5,43.8,26,Kacang tanah sari
654,748,20.8,20.8,124.8,Kacang Telur 
655,331,24.4,1.9,56.6,Kacang tolo / tunggak kering
656,138,10.7,1.1,22.6,Kacang tolo rebus
657,342,22.9,1.4,61.6,Kacang Tunggak (tolo)
658,138,10.7,1.1,22.6,Kacang Tunggak rebus
659,451,11.2,20.2,59.7,Kacang Tunggak rempeyek
660,351,12.2,1.2,72.9,Kacang tunis kering
661,358,23.4,2.4,60.6,Kacang uci kering
662,354,12.8,1.8,69.3,Kacang urei kering
663,110,4.5,6.9,7.1,Kadada katembe
664,413,28.7,19.8,29.8,Kaholeo masakan
665,92,20,0.7,0,Kakap
666,66,2.8,6.8,3.4,Kalakai
667,163,16.5,9,4.1,Kalio jeroan masakan
668,122,13.8,5.7,3.9,Kalio kikil (tunjang) masakan
669,157,8.1,8.8,11.4,Kalio otak masakan
670,193,10.6,12.4,9.7,Kalio telur masakan
671,149,16.6,9.2,0,Kambing daging segar
672,164,3,2.4,32.6,Kambose
673,29,3,0.3,5.4,Kangkung
674,30,3.2,0.7,4.7,Kangkung kukus
675,22,2.5,0.6,3.1,Kangkung rebus
676,43,1.8,0.2,8.4,Kangkung tondano
677,52,1.8,3.6,3,Kangkung tumis
678,38,2.4,2,2.6,Kaparende sayur
679,42,3.3,0.2,9.6,Kapri Muda
680,41,2,0.3,7.8,Kapurung
681,158,4.4,3.2,27.8,Kapusa
682,25,2.3,0.2,3.5,Karawila
683,146.7,5.9,5.9,19.7,Karedok 
684,92,2.2,3.3,14.1,Karedok sayur
685,292,11.2,11.2,2.8,Karoket 
686,73,16.4,0.3,0,Katak
687,275,12.6,14.8,54.6,Katul Beras
688,356,9,8.5,64.5,Katul Jagung
689,120,3.5,2.5,20.8,Kawista segar
690,46,5.7,1.3,9,Kecap
691,464,1.2,18.6,73,Kecimpring singkong goreng
692,405,32.8,17,36.5,Kecipir biji
693,35,2.9,0.2,0.8,Kecipir buah muda
694,32,2.9,0.2,5.8,Kecipir muda segar
695,34,0.9,1,6.7,Kecombrang segar
696,47,0.5,0.2,10.4,Kedondong segar 
697,326,22.8,20.3,13.1,Keju
698,590,27,49,20.9,Keju Kacang Tanah
699,623,2,52.1,36.5,Kelapa hutan kering
700,17,0.2,0.1,3.8,Kelapa Muda air
701,68,1,0.9,14,Kelapa Muda daging
702,180,4,15,10,Kelapa Setengah Tua daging
703,359,3.4,34.7,14,Kelapa Tua daging
704,214,5.4,5.4,40.2,Kelepon 
705,111,1.5,0.3,27.2,Kelewih
706,142,16.9,7.8,0,Kelinci daging segar
707,48,1,0.2,11.9,Kemang
708,380,48.9,13.8,23.3,Kembang tahu
709,44,1.8,0.6,9.6,Kembang Turi
710,636,19,63,8,Kemiri
711,657,15,66,13,Kenari
712,616,13.9,56.2,13.7,Kenari banda kering
713,83,2,0.1,19.1,kentang
714,142,0.9,0.4,33.7,Kentang Hitam
715,64,12,1,2,Keong
716,204,2.6,20,4,Kepala Susu (Krim)
717,151,13.8,3.8,14.1,Kepiting
718,59,18,1.1,3.6,Kerang
719,393,38.9,13.3,29.4,Kerang asap mentah
720,357,41.1,10,25.6,Kerang dendeng mentah
721,79,18.7,0.5,0,Kerbau daging segar
722,475,1.6,25.5,64.4,Keremes
723,137,1.3,1.1,29.8,Keribang ubi segar
724,586,4.9,40.6,50.2,Keripik bayam
725,446,2.8,14.5,76,Keripik gadung
726,448,2.7,18.8,67.1,Keripik kentang
727,485,1.7,22.2,69.7,Keripik lampung
728,598,8.3,43.8,42.6,Keripik oncom
729,478,0.9,20.7,72,Keripik singkong
730,481,2.2,19.7,73.6,Keripik singkong berbumbu
731,581,12.1,40.6,41.7,Keripik tempe
732,542,40.3,42.4,11.6,Keripik tempe abadi murni
733,510,12.3,27.9,52.4,Keripik tempe abadi sedang
734,529,20.8,31.7,40.2,Keripik tempe abadi telur
735,486,0.2,23.9,67.6,Keripik ubi
736,26,1.7,0.4,3.8,Kerokot segar
737,350,0.5,0.2,85.9,kerupuk
738,444,6.9,14.6,71.3,Kerupuk cumi goreng
739,342,16,0.4,65.6,Kerupuk Ikan berpati
740,325,1.8,0.4,78.5,Kerupuk kemplang  (ikan) mentah
741,504,5.6,28.1,57.1,Kerupuk kemplang goreng
742,356,9.7,1.1,76.9,Kerupuk kemplang panggang
743,422,83,4,0,Kerupuk Kulit kerbau
744,345,12,1.5,71.5,Kerupuk Melinjo mentah
745,431,11.1,16.2,63,Kerupuk Melinjo tebal goreng asin
746,439,10,16.4,65.7,Kerupuk Melinjo tebal goreng manis
747,485,11.5,24.5,59.1,Kerupuk Melinjo tipis goreng
748,476,0.1,21.1,71.3,Kerupuk mie kuning goreng
749,46.7,17.3,17.3,81.3,Kerupuk Sayong 
750,340,30,30,52,Kerupuk Udang 
751,359,17.2,68.2,332,Kerupuk Udang berpati
752,477,4.7,20.5,68.5,Kerupuk udang goreng
753,588,53.7,40.9,1.2,Kerupuk urat
754,78,0.8,0.4,20,Kesemek
755,181,4,1.2,37.3,Ketan hitam matang
756,163,3,0.4,35.7,Ketan putih matang
757,340,11,11,54,Ketapang 
758,157,0.8,0.3,37.9,Ketela Pohon Kuning
759,154,1,0.3,36.8,Ketela singkong segar
760,153,1.2,0.3,36.4,Ketela pohon/singkong kukus
761,12,0.7,0.1,2.7,Ketimun
762,9,0.5,0.1,1.9,Ketimun madura segar
763,153,7.9,7.7,13,Ketoprak
764,404,14.1,16.1,54.2,Ketumbar
765,212,4,4.6,38.6,Ketupat ketan
766,109.6,2.6,2.6,18.6,Ketupat Tahu 
767,310,10,24,13.5,Kluwek
768,73,16.4,0.3,0,Kodok segar
769,86,1.6,0.2,13,Kokosan
770,99,3.3,0.1,21.2,Komak polong segar
771,25,2.4,0.2,4.9,Kool Kembang
772,24,1.4,0.2,5.3,Kool Merah kool putih
773,352,17.4,1.3,69,Kopi bagian yang larut
774,129,12.3,0.5,35,kopi
775,356,20.5,4.1,61.6,Koro andong kering
776,332,24,3,55,Koro Benguk biji
777,141,10.2,1.3,23.2,Koro Benguk tempe
778,125,8.3,0.7,22.1,Koro Kerupuk biji
779,33,2.7,0.2,7.9,Koro Loke biji
780,344,12.5,2.1,69.4,Koro Roway biji
781,338,22.2,1.5,61,Koro Wedus biji
782,38,3,0.3,7.9,Koro Wedus buah muda
783,46,3,0.3,7.9,Koro wedus polong
784,46,2.2,1.5,6,Kotiu hinela tawang nggole
785,366,4.2,4.3,77.5,Koya
786,370,8,1,82.2,Koya mirasa
787,315,2.1,1.4,73.5,Kranji segar
788,542,40.3,42.4,11.5,Kripik Tempe Goreng 
789,21,1.7,0.4,3.8,Krokot
790,45,2.2,0.3,10.3,Kucai
791,42,3.8,0.6,7.8,Kucai Muda (Lokio)
792,113,18.1,4.1,0.9,Kuda daging segar
793,440,3.8,18.5,64.5,Kue ali
794,186.7,1.6,1.6,39.6,Kue Apem 
795,338,1.5,1.2,80.3,Kue bangket
796,240,1,4,54,Kue Bugis 
797,425,1.6,8.8,84.6,Kue jahe
798,591,5.6,42.1,47.5,Kue kelapa
799,366,4.2,4.3,7.9,Kue Koya 
800,291,3.6,11.1,44.1,Kue lumpur
801,182,1,1,40.4,Kue mangkok 
802,126.7,0.7,0.7,57.3,Kue Pacar Cina 
803,296,1.4,1.4,66.4,Kue Pia 
804,304,5.3,7,54.9,Kue putu cangkir
805,217,1.2,0.5,53.2,Kue putu singkong
806,393.3,2.7,2.7,79.3,Kue Satu 
807,380,1,1,92,Kue Semprong 
808,221,7.5,10.2,24.8,Kue sus
809,180,5,5,32,Kue Talam 
810,512,26,26,60.4,Kue Tambang 
811,247,2.9,4.2,49.5,Kue thipan
812,111,4.5,1.1,20.7,Kulit melinjo
813,22,0.4,0.2,4.7,Kundur segar
814,63,2,2.7,9.1,Kunyit
815,83,19.1,0.2,0,Kura-kura
816,515,30.6,42.1,13.8,Kwaci
817,242,19,17,3,Kwark (Quark)
818,17,0.6,0.2,3.8,Labu Air
819,51,1.7,0.5,10,Labu kuning segar
820,26,0.6,0.1,6.7,Labu Siam
821,32,1.1,0.1,6.6,Labu waluh segar
822,166.3,2.7,3.9,29.5,Laksa 
823,85,5.7,0.3,15.4,Lamtoro (pete cina) biji muda
824,148,10.6,0.5,26.2,Lamtoro biji tua
825,142,11,2.5,20.4,Lamtoro tempe
826,367,46.4,5.4,32.5,Lamtoro var. gung tanpa kulit
827,336,23.8,1.2,59.7,Lamtoro var. lokal dengan kulit
828,56,0.9,0.2,14.3,Langsat
829,34,2.2,0.3,5.5,Lantar segar
830,422,0.9,10.8,80.4,Lanting getuk
831,389,6.6,15.7,55.5,Lapis legit
832,174,17,10,3,Lawar babi masakan
833,141,23,1.5,7.6,Lawar penyu masakan
834,159,5,10.9,10.1,Lawara jangang masakan
835,207,7.4,15.4,9.6,Lawara penjah masakan
836,405,4.8,5.1,84.9,Ledre pisang
837,15,1,0.4,1.9,Lema/ Rebung asam
838,902,0,100,0,Lemak Babi
839,630,9.1,65,1.1,Lemak Babi (Bacon)
840,372,12,29.4,14.4,Lemak ikan
841,818,1.5,90,0,Lemak Kerbau
842,34,0.5,0.8,6.2,Lemon segar
843,36,0,0,10,Lemon Squasih
844,30,0,0,8,Lemonade
845,221.3,3.8,3.6,43.4,Lemper 
846,320,3.5,5.7,63.7,Lempog durian
847,181,2.8,1.2,39.8,Lepok/Ubi rumput
848,33,1.9,0.1,7.4,Leunca buah
849,240,7.8,0.5,51.3,Leupeut Ketan 
850,387,16,22,3,Leverwost (sosis hati)
851,79,2.3,5.2,5.8,Lilin bungkus gedi
852,19,0.9,0.1,4.2,Lobak
853,217,11,1.7,5.1,Lokan segar
854,27,0.4,0.2,6,Lontar segar
855,163.3,2.8,2.2,33,Lopis 
856,38,1.1,0.3,7.6,Lumai/Leunca segar
857,164,1.8,2.1,34.5,Lupis ketan
858,294,0.3,0,79.5,Madu
859,341,0.3,0,85,Maizena tepung
860,363,8.7,0.4,78.7,Makaroni
861,63,2.4,0.4,12.4,Mangga benggala segar
862,44,0.7,0.2,11.2,Mangga Gedong
863,63,0.5,0.2,16.7,Mangga Golek
864,46,0.4,0.2,11.9,Mangga Harum Manis
865,72,0.8,0.2,18.7,Mangga Indramayu
866,56,0.4,0.2,14.6,Mangga Kopek
867,86,0.7,0.5,19.8,Mangga kwini segar
868,133,1,0.1,32.1,Mangga manalagi segar
869,59,0.5,0.4,15.1,Mangga Muda
870,52,0.7,0,12.3,Mangga segar
871,63,0.6,0.6,15.6,Manggis
872,720,0.6,81,0.4,Margarin
873,144,3.5,1.2,29.8,Markisa segar
874,217,2.5,1,49.6,Markisa squash
875,104,1.2,0.5,23.7,Markisa squash BD
876,265.3,4.7,5.5,49.3,Martabak  manis
877,153,4.5,4.2,24.3,Martabak india
878,278,5.1,8.6,45,Martabak mesir
879,200,8.9,5.1,29.5,Martabak Telur 
880,369,2.1,7,74.1,Masekat
881,90,1.2,0.1,21.1,Matoa segar
882,276,0,0.1,71,Melase
883,66,5,0.7,13.3,Melinjo
884,37,0.6,0.4,7.8,Melon segar
885,322,55.8,2,22.7,Menjangan daging dendeng mentah
886,725,0.5,81.6,1.4,Mentega
887,65,1.7,0.2,16.1,Menteng
888,359,11.5,6.8,64.4,Merica
889,88,0.6,3.3,14,Mi basah
890,71,0.2,0.8,15.9,Mi golosor
891,339,10,1.7,6.3,Mi kering
892,113,3,3.2,18.1,Mie aceh rebus
893,102,6.2,3.9,10.5,Mie ayam
894,114,5.3,3,16.4,Mie bakso
895,86,0.6,3.3,14,Mie basah
896,353,0.3,0,88,Mie Bendo
897,102,3,2.1,17.8,Mie celon
898,468,7.6,20.4,62.4,Mie Goreng 
899,337,7.9,11.8,50,Mie kering
900,105,5.9,4.9,9.4,Mie pangsit basah
901,190,0.2,0.4,46.5,Mie Sagu
902,902,0,100,0,Minyak Hati Hiu (Eulamia)
903,902,0,100,0,Minyak Ikan
904,902,0,100,0,Minyak Kacang Tanah
905,883,0,99.9,0,Minyak kedelai
906,870,1,98,0,Minyak Kelapa
907,902,0,100,0,Minyak Kelapa Sawit
908,902,0,100,0,Minyak Wijen
909,884,0,100,0,Minyak Zaitun
910,345,8.5,2.2,78,Misoa
911,218,0.8,16,50.2,Misro 
912,128,8,10,1.3,Moon tahu
913,33,2.3,0.5,4.7,Mostarda metan -sawi
914,330,17.8,23.4,12.1,Mujahir acar kuning masakan
915,478,38.3,33.9,5.1,Naan maran sapi masakan
916,52,0.4,0.2,13.7,Nanas
917,58,0.7,0.2,13.3,Nanas palembang segar
918,165,4.2,0.1,36.7,Nangka biji
919,106,1.2,0.3,27.6,Nangka masak di pohon
920,51,2,0.4,11.3,Nangka Muda
921,180,3,0.3,39.8,Nasi
922,149,2.8,0.4,32.5,Nasi beras merah
923,192,3.8,8.8,24.4,Nasi gemuk
924,276,3.2,3.2,30.2,Nasi Goreng 
925,190,4.7,7.5,26,Nasi gurih
926,357,8.8,0.5,79.5,Nasi jagung
927,207,3.5,5,37.1,Nasi minyak
928,155,10.3,4.2,19.1,Nasi rames
929,120,2.4,0.4,26,Nasi tim
930,253.3,4.3,21,11.7,Nasi Uduk 
931,196,14.5,8.3,15.9,Nasu likku masakan
932,600,14,41.7,42,Noga Kacang Tanah 
933,387,5.3,7.6,74.3,Nopia spesial
934,9,2.1,6,7.1,Olah-olah
935,187,13,6,22.6,Oncom
936,376,14.9,6,65.7,Oncom ampas kacang hijau
937,363.3,19.3,19.3,40.3,Oncom Goreng 
938,284,12,14.4,13.6,Oncom Hitam Goreng 
939,306.7,9,18,27,Oncom Hitam Goreng bertepung 
940,351,11,5.3,65.9,Oncom kacang hijau + singkong
941,132,12.7,3.8,13.7,Oncom Kacang Tanah pepes
942,187,13,6,22.6,Oncom Kedele
943,368,6.8,32,13.2,Oncom Merah Goreng 
944,320,7.3,18.7,31,Oncom Merah Goreng bertepung 
945,40,2,2,3,Oncom Merah Sayur (tumis) 
946,76,5.2,1.8,10.6,Oncom pepes
947,288.6,8.3,8.9,44.3,Onde-onde 
948,115,1.5,6,14,Ongol-ongol 
949,111,0.3,2.7,21.2,Ongol-ongol sagu
950,940,36,42,104,Opak Singkong 
951,117,13.7,5,4.3,Oramu ninahu ndawa olaho masakan
952,125,10.4,8.6,0.8,Otak
953,351,0.9,0.9,84.9,Oyek
954,342,2.3,0.1,83.1,Oyek (dari singkong)
955,77,3.5,4.6,5.4,Paku hinela wulelenggapaya
956,494,7.5,36.4,40.1,Pala biji
957,42,0.3,0.2,10.9,Pala daging
958,460,28.5,35.2,7.2,Paniki masak santan masakan
959,133.8,3,1.6,27,Papais 
960,61,0.2,0.1,14.9,Papeda
961,87,10.5,2.5,5.5,Parede baleh masakan
962,29,1.1,0.3,6.6,Paria (Pare)
963,16,0.8,0.2,3.4,Paria Putih kukus
964,19,1,0.4,3.6,Paria putih segar
965,307,4.5,13.3,42.4,Pastel
966,362,0.5,0.3,86.9,Pati Singkong (tapioka)
967,23,1.8,0.3,4.5,Pe-Cay
968,156,28,4,0,Peda Ikan Banjar
969,75,2.5,2.8,10,Pelecing kangkung
970,219,19.7,13.6,4.4,Pelepah manuk masakan
971,162,4.9,3,27.8,pempek
972,156,4.2,1.4,31.6,Pempek belida
973,152,4.5,2.3,28.2,Pempek kapal selam
974,211,12.3,6.1,26.6,Pempek kelesan
975,243,5.2,7.3,39.1,Pempek kulit
976,173,7.2,1.2,33.4,Pempek tenggiri
977,372,7.8,36.3,3.5,Pencok lele masakan
978,174,13.1,12.2,2.2,Penyu serapah masakan
979,19,0.6,0.1,3.9,Pepare ular segar
980,275,11.6,11.6,30.2,Pepaya lodeh
981,26,2.1,0.1,4.9,Pepaya Muda
982,46,0.5,12,12.2,Pepaya segar
983,76,5.2,1.8,10.6,Pepea oncom ampas tahu
984,400,0,0,95,Permen 
985,142,10.4,2,22,Pete Segar
986,50,3.7,1,9,Peterseli
987,161,20,0.2,24,Petis Ikan
988,220,15,0.1,40,Petis Udang
989,345,23.8,1.4,59.3,Petis udang kering
990,220,15,0.9,38,Petis udang pasta
991,514,1,27.8,647,Pilus 
992,107,15.9,0.6,0.4,Pinda masakan
993,157,28,4.2,0,Pindang Ikan Banjar
994,170,31,4.2,0,Pindang Ikan Benggol
995,153,30,2.8,0,Pindang Ikan Layang
996,142,27,3,0,Pindang Ikan Selar Kecil
997,124,9.5,9.6,0,Pindang kenari masakan
998,99,1.2,0.2,25.8,Pisang Ambon
999,68,1.3,0.2,17.2,Pisang angleng (pisang ampyang) segar
1000,120,1.1,0.2,26.8,Pisang ayam segar
1001,127,2.1,0.3,31.1,Pisang gapi segar 
1002,220,2.3,2.3,6.3,Pisang Goreng 
1003,115,1.9,0.2,27.9,Pisang goroho segar
1004,117,2,0.3,28.9,Pisang hijau segar
1005,100,1.4,0.5,23.6,Pisang kayu segar
1006,109,0.8,0.5,26.3,Pisang kepok segar
1007,145,1.1,0.3,34.5,Pisang ketip segar
1008,96,1,0.2,22.5,Pisang kidang segar
1009,99,1.3,0.2,25.6,Pisang Lampung
1010,127,1.4,0.2,33.6,Pisang Mas
1011,127,1.4,0.2,31.8,Pisang mas bali
1012,134,1.1,0.5,35.5,Pisang Oli
1013,120,1.2,0.2,31.8,Pisang Raja
1014,118,1.2,0.2,31.1,Pisang Raja Sere (Susu)
1015,98,1.3,1.2,20.5,Pisang rotan segar
1016,625,1,0,8.1,Pisang Siam goreng
1017,113,1.2,0.2,26.7,Pisang talas segar
1018,45,2.2,0.3,10.3,Prey (bawang daun)
1019,33,4.5,0.4,2.8,Pucuk lumai/daun leunca segar
1020,216,2.6,3.1,44.4,Pulut
1021,224,26.2,11.3,4.4,Punai daging goreng
1022,104,1.9,4.1,15.1,Pundut nasi
1023,25,1.5,0.5,3.6,Purundawa
1024,76,4.1,1.1,15.2,Purut segar
1025,76,3.6,0.3,14.6,Putri malu segar
1026,163,2.2,6.5,23.8,Putri selat
1027,200,1,2.4,43.8,Putu Mayang 
1028,136,43,2.4,3,Ragi
1029,76,12.1,2,2.4,Rajungan segar
1030,69,0.9,0.1,18.1,Rambutan
1031,11,0,0,2.7,Rambutan Aceh
1032,76,0.5,0.2,18,Rambutan binjai segar
1033,4,0,0,0.9,Rambutan sinyonya
1034,295,7.3,8.5,47.5,Rarawuan 
1035,394,2.2,8.8,76.6,Rasbi (Beras Ubi)
1036,350,0.9,0.4,85.7,Rasi (Beras Singkong)
1037,60,5.4,2.5,4,Rawon masakan
1038,81,16.2,1.2,0.7,Rebon (udang kecil segar)
1039,299,29.4,3.6,3.2,Rebon kering
1040,81,16.2,1.2,0.7,Rebon udang kecil segar
1041,27,0.6,0.3,5.2,Rebung
1042,320,7.2,4.2,63.3,Rebung laut mentah
1043,451,11.2,20.2,59.7,Rempeyek kacang tolo
1044,497,17,27.6,50.8,Rempeyek kacang uci
1045,193,22.6,7.9,7.8,Rendang sapi masakan
1046,471,4.7,21.8,64.1,Renggi goreng
1047,75,1.6,0.6,15.8,Rimbang segar
1048,335,5.3,3.5,70.5,Risoles 
1049,341,5.5,16.2,43.3,Roti boong
1050,350,7.5,2,75.5,Roti Gambang 
1051,248,8,1.2,50,Roti Putih
1052,249,7.9,1.5,49.7,Roti warna sawo matang
1053,153,11.3,8.4,8,Rujak cingur
1054,41,1.4,0.3,8.1,Rumput laut
1055,536,40.5,41.5,0,Rusa daging dendeng mentah
1056,110,11.5,2,11.7,Rusip
1057,198,24.6,10.7,0.9,RW anjing masakan
1058,449,30.6,25.5,31.9,Saga biji tanpa kulit
1059,338,0.6,0.3,83.1,Sagu Ambon 
1060,355,0.6,1.1,85.6,Sagu aren kering
1061,231,0.6,0.2,56.6,Sagu aren segar
1062,291,0.5,4,63.4,Sagu forno
1063,230,0.6,0.2,56.5,Sagu kasbi segar
1064,452,2.8,14.8,76.8,Sagu Lemak (Kue Sagon)
1065,347,0.9,0.3,85.2,Sagu lempeng
1066,364,0.1,0.2,90.5,Sagu Rendang
1067,362,0.5,0.3,86.9,Sagu singkong kering
1068,354,0.8,8.3,68.9,Sagu sinole
1069,57,0.5,0.1,13.6,Salak bali segar
1070,55,0.4,0.2,12.8,Salak medan segar
1071,87,0.8,0.4,20.1,Salak pondoh segar
1072,281,2.4,0.7,66.1,Sale pisang siam
1073,122,2,10,7.6,Santan (dengan air)
1074,324,4.2,34.3,55.6,Santan (kelapa saja)
1075,324,4.2,34.3,5.6,Santan murni
1076,98,2,0.4,24.5,Saos Tomat
1077,212,18,10.6,59.3,Sapi abon
1078,108,17.6,4.2,0,Sapi babat segar
1079,182,32,6,0,Sapi daging asap
1080,301,55,9,0,Sapi daging dendeng mentah
1081,273,17.5,22,0,Sapi daging gemuk segar
1082,289,16,25,0,Sapi daging kornet
1083,174,19.6,10,0,Sapi daging kurus segar
1084,201,18.8,14,0,Sapi daging lemak sedang segar
1085,448,14.5,42.3,2.3,Sapi daging sosis (Worst)
1086,183,12,14.4,1.4,Sapi daleman segar
1087,98,21.9,1.1,0,Sapi dideh/darah
1088,137,15,8.1,0.9,Sapi ginjal segar
1089,274,16,22,3,Sapi hati sosis (liverworst)
1090,84,10.5,4.6,0.2,Sapi keleponan segar
1091,132,19.7,3.2,6,Sapi liver segar
1092,123,10.4,8.6,0.8,Sapi otak segar
1093,360,57.3,6,19.2,Sapi paru dendeng mentah
1094,268,23.9,12.7,14.5,Sapi paru goreng
1095,126,14,7.2,1.5,Sapi usus segar
1096,281,37.5,0.3,32.1,Sarang Burung
1097,338,21.1,27,1,Sardines dalam kaleng
1098,344,30,20,43,Sari Kedelai bubuk
1099,166,2.3,2.8,32.9,Sarimuka
1100,283,12.1,16.8,20.9,sate
1101,110,15.5,0.5,11.5,Sate Kulit 
1102,179,22.5,3.5,13.3,Sate penyu masakan
1103,274,12.9,18.6,13.6,Sate pusut masakan
1104,126.7,14,7.3,1.3,Sate Usus 
1105,22,2.3,0.3,4,Sawi
1106,9,1,0.1,1.7,Sawi putih / pecai segar
1107,30,1.9,0.5,4.4,Sawi taiwan segar
1108,19,1.3,0.2,2.9,Sawi tanah segar
1109,92,0.5,1.1,22.4,Sawo
1110,64,1,3.1,8,Sawo duren segar
1111,111,0.9,2.3,21.6,Sawo kecik segar
1112,92,0.5,1.1,22.4,Sawo Manila segar
1113,29,0.7,0.6,5,Sayur asem
1114,49,1.7,0.3,9.8,Sayur bunga pepaya
1115,178,2.6,13.9,10.6,Sayur garu
1116,133,7.3,6.6,11.2,Sayur kohu-kohu
1117,64,2.1,0.6,12.5,Sayur lebui
1118,36,2.7,0.7,4.8,Sayur lilin-terubuk
1119,49,3.1,2.5,3.6,Sayur ndusuk
1120,27,1.3,2,1,Sayur sop
1121,67,5.2,2.9,5.1,Sayur umbut kelapa
1122,57,5.4,2.6,3.1,Sayur umbut rotan
1123,15,1.2,0.2,2.9,Selada
1124,17,1.7,0.3,3,Selada Air
