id,calories,proteins,fat,carbohydrate,name
132,363,7.6,1.1,78.3,Beras Setengah Giling
133,344,1.1,0.2,28.3,Beras Siger
134,354,7.8,0.4,79.9,Beras tumbuk mentah
135,352,7.3,0.9,76.2,Beras tumbuk merah mentah
136,145,16.3,7,4.1,Betok wadi masakan
137,360,4.7,0.1,82.1,Bihun
138,154,3,4.5,25.5,Bihun Goreng 
139,381,6.1,3.9,80.3,Bihun goreng instan
140,354,0.5,0.3,87.4,Bihun Jagung mentah
141,348,4.7,0.1,82.1,Bihun mentah
142,562,21.2,49.6,23.6,Biji Jambu Mete
143,629,21.5,56.6,19.8,Biji Jambu Mete goreng
144,262,2.3,5.4,51.1,Biji nangka/Biji salak
145,199,2.1,1.5,44.4,Bika ambon
146,225.7,3,0.3,52.9,Bika Ambon 
147,48,0.6,0,4.4,Bir (4% alkohol)
148,458,6.9,14.4,75.1,Biskuit
149,42,1.6,0.1,9.6,Bit
150,51,0.3,0.1,12.1,Biwah segar
151,43,2.6,0,11.6,Bonggol Pisang
152,245,3.4,0,66.2,Bonggol Pisang kering
153,119,4.4,3.5,18.3,Bongkrek (tempe bungkil)
154,23,1,0.8,7.2,Boros Kunci
155,22,1,0.3,4.7,Boros Laja (lengkuas)
156,186,11.7,9.7,13,Botok lamtoro
157,249,3.4,0.4,58,Brem
158,400,4,0.7,95.3,Brondong 
159,141,15.3,3.3,12.6,Brongkos
160,23,0.8,0.2,5.2,Buah Atung
161,110,1.4,2.1,21.4,Buah kelenting segar
162,38,1.5,0.2,7.5,Buah kelor
163,264,4,1.1,59.6,Buah kom segar
164,39,0.7,0.2,9.7,Buah Mentega (bisbul)
165,87,2.6,2.7,13.1,Buah merah
166,71,1.7,3.1,9.1,Buah Naga Merah segar
167,56,0.8,1,10.9,Buah Naga Putih segar
168,55,1.2,0.1,12.2,Buah negri segar
169,101,1.7,0.6,25.2,Buah Nona
170,78,0.6,0.3,18.2,Buah rotan segar
171,113,0.8,0.3,26.8,Buah rukam segar
172,29,2.1,0.7,3.6,Buah ruruhi segar
173,67,0.4,0.2,15.9,Buah tuppa segar
174,365,49.6,4.8,30.8,Buaya daging dendeng mentah
175,60,1,60,13,bubur 
176,167,0.2,4,33,Bubur sagu
177,156,2.3,0.2,15.6,Bubur tinotuan (Manado)
178,72,11.4,4.9,1.4,Bulgogi masakan
179,212,16.9,0.2,47.6,Bulung Jajan
180,237,14.7,0.2,56,Bulung Sangu
181,35,2.4,0.2,7.7,Buncis
182,60,5.1,0.5,8.5,Buncis asam
183,30,2.2,0.2,6.4,Buncis rebus
184,45,2.6,0.3,8.1,Bunga pepaya segar
185,42,2,1.1,6.1,Bunga turi segar
186,333,29.3,3.3,50,Bungkil Biji Karet
187,336,37.4,13,30.5,Bungkil Kacang Tanah
188,368,23,15,40,Bungkil Kelapa
189,106,4.4,6.3,7.9,Buntil 
190,141,4.4,10.2,8,Buntil daun talas
191,125.7,3.3,1.9,23.9,Buras 
192,281,37.5,0.3,32.1,Burung sarang segar
193,38,1.6,0.8,6.3,Cabai gembor merah segar
194,26,0.7,0.3,5.2,Cabai hijau segar
195,367,15.9,6.2,61.8,Cabai merah kering
196,36,1,0.3,7.3,Cabai merah segar
197,120,4.7,2.4,19.9,Cabai rawit segar
198,20,1.7,0.4,3.4,Caisin segar
199,155,20.1,3.8,10.2,Cakalang asar (asap papua)
200,323,4.9,11.5,50.1,Cake tape
201,102,3.2,6,8.7,Cammetutu
202,366,11,3.3,73,Cantel mentah
203,97,5.8,6.3,4.2,capcay
204,24,1.9,0.2,3.7,Carica papaya segar
205,460,0.8,18.7,17.2,Cassavastick
206,116,3,0.4,28.6,Cempedak
207,330,5.2,8.9,57.4,Cengkeh kering
208,332,11,3.3,73,Centel
209,462,1.2,20.7,67.7,Ceriping getuk singkong
210,168,13,9.6,7.5,Chicken teriyaki masakan
211,143,9.8,1.4,22.8,Chikiniku masakan
212,311,8,4,48.9,Coklat bubuk
213,472,2,29.8,62.7,Coklat Manis batang
214,504,5.5,52.9,29.2,Coklat Pahit batang
215,381,9,35,53.6,Coklat Susu batang
216,210,1.6,6.6,35.8,Combro 
217,241,16,25,0,Corned Beef
218,96,6.8,5.9,3.8,Coto mangkasara kuda masakan
219,84,6,6,1.4,Coto mangkasara sapi masakan
220,145,27,2.3,0,Cue Selar Kuning
221,12,0.1,0.1,5,Cuka
222,265,40.6,10.1,0,cumi
223,75,16.1,0.7,0.1,Cumi-cumi segar
224,190,19.1,12,0,Daging Anak Sapi
225,191,32,6,0,Daging Asap
226,457,11.6,45,0,Daging Babi Gemuk
227,376,14.1,35,0,Daging Babi Kurus
228,206,17.1,14.8,0,Daging Domba
229,154,16.6,9.2,0,Daging Kambing
230,84,18.7,0.5,0,Daging Kerbau
231,118,18.1,4.1,0.9,Daging Kuda
232,207,18.8,14,0,Daging Sapi
233,27,1.3,0.6,4,Daun bangun-bangun segar
234,29,1.8,0.7,5.2,Daun Bawang
235,41,2,0.3,7.8,Daun bawang  merah segar
236,41,2.7,1,7.3,Daun bebuas segar
237,50,4.4,1.4,7.8,Daun belem segar
238,42,1.8,0.5,9.4,Daun Beluntas
239,122,6,1,26,Daun Cincau
240,60,3.1,0.3,14,Daun Gandaria
241,58,2.9,0.7,10,Daun gedi besar segar
242,30,1.3,0.7,5.8,Daun gelang segar
243,50,4.6,0.9,7,Daun gunda bali segar
244,62,4.2,0.9,9.2,Daun gunda serang segar
245,73,4.6,0.5,16.2,Daun Jambu Mete muda
246,34,3.8,0.5,5.3,Daun jampang segar
247,93,5,1.3,15.3,Daun jawaw seluang segar
248,27,2.1,0.7,4.4,Daun jonghe segar
249,36,2.9,0.6,6.8,Daun kacang ma segar
250,34,4.1,0.4,5.8,Daun Kacang Panjang
251,40,3.7,0.3,8,Daun Kacang Panjang kukus
252,30,3.1,0.3,5.8,Daun kacang panjang segar
253,92,4,3.6,10.9,Daun kasbi/singkong karet segar
254,59,4.8,1,11,Daun Katuk
255,53,5.3,0.9,9.1,Daun katuk rebus
256,59,6.4,1,9.9,Daun katuk segar
257,47,5,0.5,8.5,Daun Kecipir
258,59,2.8,0.3,13.4,Daun Kedondong
259,82,6.7,1.7,14.3,Daun Kelor
260,61,6.1,0.9,10,Daun Kelor rebus
261,46,4,0.5,8.9,Daun Kemangi
262,45,3.7,0.5,6.6,Daun kenikir segar
263,48,4.5,0.8,9.1,Daun kesum segar
264,22,2.1,0.5,3.6,Daun kol sawi segar
265,23,3,0.3,3.7,Daun Koro
266,51,2.5,1.1,8,Daun kubis segar
267,14,1.3,0.3,2.3,Daun Kumak
268,60,4,0.4,4.7,Daun Labu Siam
269,30,3.6,0.6,4.5,Daun Labu Waluh
270,87,8.3,1.8,14.4,Daun lamtoro segar
271,76,2.8,0.2,15.8,Daun leilem segar
272,45,4.7,0.5,8.1,Daun Leunca
273,30,2.3,0.4,5.8,Daun Lobak
274,40,3,0.8,7.4,Daun Lompong Tales
275,54,3.7,0.3,11.8,Daun Mangkokan
276,71,6.8,1.6,11.5,Daun matel ambon segar
277,99,5,1.3,21.3,Daun Melinjo
278,63,3.8,1.5,11.5,Daun Mengkudu Kukus
279,166,1.7,0.5,38.8,Daun ndusuk segar
280,22,1,0.1,5.3,Daun Oyong
281,22,1,0.1,5.3,Daun oyong segar
282,35,4,0.3,6.4,Daun Pakis
283,54,2.2,3.6,3.1,Daun pakis longgiho segar
284,39,4.5,0.4,6.9,Daun pakis segar
285,53,3.4,1.2,7.2,Daun pakis wambateu segar
286,29,3.4,0.1,6.5,Daun paku segar
287,104,3.9,0.6,17.9,Daun pangisegar
288,49,2.7,1,8.4,Daun pare segar
289,87,8,2,11.9,Daun pepaya segar
290,128,12,6.5,12.4,Daun Pete Cina
291,37,2.5,0.8,6.9,Daun Poh-pohan
292,301,14.2,10.9,49,Daun salam  bubuk
293,62,4,0.5,10.5,Daun selasih segar
294,45,4.4,8,0.5,Daun Semanggi
295,45,4.4,0.5,8.5,Daun semanggi segar
296,53,3.2,2.5,7.6,Daun simpur segar
297,68,2,1,15.2,Daun singkil segar
298,73,6.8,1.2,13,Daun Singkong
299,144,12.7,1.2,25.2,Daun singkong ambon segar
300,50,6.2,1.1,7.1,Daun singkong ampenan segar
